,TradingDate,TradingOpen,TradingClose,TradingHigh,TradingLow,TradingVolume,TradingMarketCap,OverallSentiment,CoinID
10925,2019-04-07 23:59:59,92.4213696294,92.3123691536,95.3946721331,90.0854154084,3314848880.20761,5653406711.33037,0,1996
10926,2019-04-08 23:59:59,92.3278951362,89.493042548,93.8228476416,87.0640900097,3295695861.98141,5482058436.94245,0,1996
10927,2019-04-09 23:59:59,89.4977366728,86.7869615122,89.4977366728,85.0072202458,2742631078.01307,5317455486.34268,0,1996
10928,2019-04-10 23:59:59,86.7743315292,88.3777407722,90.3524301021,86.7470406698,2765900676.91311,5416155737.51901,1,1996
10929,2019-04-11 23:59:59,88.3935302233,79.6779906128,88.5217418757,76.6567706155,3461535999.62119,4884140000.13637,-1,1996
10930,2019-04-12 23:59:59,79.6326417403,78.9639611934,80.2660584099,76.4416353058,2839796022.16015,4841472626.7465,1,1996
10931,2019-04-13 23:59:59,78.9467074263,78.221303601,81.1027838684,76.6933551839,2379257754.43375,4797064869.20353,0,1996
10932,2019-04-14 23:59:59,78.2046726791,82.9375212398,82.9375212398,76.9791745809,2328308745.01874,5087597682.60026,1,1996
10933,2019-04-15 23:59:59,83.0148902108,79.0546990538,83.8481491692,76.9819698184,2742760720.7716,4850589494.50892,-1,1996
10934,2019-04-16 23:59:59,79.0382221294,81.3492781191,81.838295582,78.0286537203,2176907330.7941,4992536055.87948,0,1996
10935,2019-04-17 23:59:59,81.3524099528,79.3274682066,82.0017785294,79.0808899796,2060101783.91908,4869545081.97212,1,1996
10936,2019-04-18 23:59:59,79.3922016693,82.0748782366,83.2014522137,79.3075538514,2616912435.61082,5039449525.62503,-1,1996
10937,2019-04-19 23:59:59,82.0988163512,82.5692227845,83.1884835618,80.4339329589,2608961075.49135,5070985398.1947,1,1996
10938,2019-04-20 23:59:59,82.5503825017,81.5124986208,82.8927774054,80.2759530643,2422737856.53595,5007238091.48205,0,1996
10939,2019-04-21 23:59:59,81.5220146553,77.331559117,81.8905055814,75.0202087706,2957685725.63272,4751522316.9548,0,1996
10940,2019-04-22 23:59:59,77.2944144031,76.948077732,77.8895845231,75.6995788656,2657300818.93001,4729023682.35574,1,1996
10941,2019-04-23 23:59:59,76.8534981785,74.8450217987,79.461781631,74.6394116716,2920088568.20913,4600847627.23982,1,1996
10942,2019-04-24 23:59:59,74.7538755662,73.3089431536,75.2356487244,71.3560673142,3347048436.05449,4507411995.932,-1,1996
10943,2019-04-25 23:59:59,73.2453191581,71.2481178331,74.5077178578,71.0550007299,2754712045.7973,4381667236.2695,-1,1996
10944,2019-04-26 23:59:59,71.3633021171,73.1153465683,74.5130113154,70.1936751174,3041612618.86474,4497581499.25738,0,1996
10945,2019-04-27 23:59:59,73.2133721173,72.1209037542,73.3286377255,71.9933313125,2059777054.25355,4437433949.50236,0,1996
10946,2019-04-28 23:59:59,72.1203074518,69.7267999703,72.4828295375,69.0800299085,2362638269.87927,4291106337.08576,-1,1996
10947,2019-04-29 23:59:59,69.784255653,67.9603802114,70.2292215732,67.2660619254,2532498296.12034,4183425749.49915,-1,1996
10948,2019-04-30 23:59:59,67.9505873801,74.28087406,74.6682977098,67.9505873801,3065300353.64056,4573555690.89357,1,1996
10949,2019-05-01 23:59:59,74.3033538546,73.6577686214,75.4206527834,72.2980150709,2871792311.35765,4536348667.28618,-1,1996
10950,2019-05-02 23:59:59,73.6827536219,73.7771758525,74.5236549427,73.0957880558,2903392113.7652,4544823993.51457,1,1996
10951,2019-05-03 23:59:59,73.7644482518,79.3265344093,80.4192638276,73.4426067024,3850339791.87758,4887671308.36029,-1,1996
10952,2019-05-04 23:59:59,79.3079365132,78.0638386356,82.0195841916,75.7961638912,3502670654.94666,4810952019.45219,0,1996
10953,2019-05-05 23:59:59,78.0042335655,75.9843672914,78.1505282129,75.5378943202,2650746460.75968,4683927727.29335,0,1996
10954,2019-05-06 23:59:59,76.0289810144,74.9827566128,76.3936362977,72.3252927499,2933488798.69151,4623334242.86151,1,1996
